,Unnamed: 0,gvkey,datadate,fyear,conm,at,lagged_at,capx,ceq,csho,xrd,cik_x,costat,prcc_f,date.filed,adoption_year,blockchain,Q,invest,invest_y1
26,35,1076,20171231,2017,PROG HOLDINGS INC,2692.264,2615.736,57.973,1728.004,70.019,0.0,1808834,A,39.85,0,0.0,0,1.394557573105758,0.0221631693718326,0.0292857609803496
27,36,1076,20181231,2018,PROG HOLDINGS INC,2826.692,2692.264,78.845,1760.708,67.184,0.0,1808834,A,42.05,0,0.0,0,1.376545870579461,0.0292857609803496,0.0328875590265936
28,37,1076,20191231,2019,PROG HOLDINGS INC,3297.8,2826.692,92.963,1737.259,66.718,0.0,1808834,A,57.11,0,0.0,0,1.6286026987688764,0.0328875590265936,0.0195114925101582
29,38,1076,20201231,2020,PROG HOLDINGS INC,1317.404,3297.8,64.345,986.136,67.723,0.0,1808834,A,53.87,0,0.0,0,3.0207180257536788,0.0195114925101582,0.0072529004010918
30,41,1078,20161231,2016,ABBOTT LABORATORIES,52666.0,41247.0,1121.0,20538.0,1472.869,1422.0,1800,A,38.41,0,0.0,0,1.6842155905138037,0.0616529687007539,0.0639881517487563
31,42,1078,20171231,2017,ABBOTT LABORATORIES,76250.0,52666.0,1135.0,30897.0,1743.602,2235.0,1800,A,57.07,0,0.0,0,1.89980808052459,0.0639881517487563,0.0484459016393442
32,43,1078,20181231,2018,ABBOTT LABORATORIES,67173.0,76250.0,1394.0,30524.0,1755.619,2300.0,1800,A,72.33,0,0.0,0,2.435992471231,0.0484459016393442,0.0607089157846158
33,44,1078,20191231,2019,ABBOTT LABORATORIES,67887.0,67173.0,1638.0,31088.0,1762.503,2440.0,1800,A,86.86,0,0.0,0,2.797148358006688,0.0607089157846158,0.0677154683518199
34,45,1078,20201231,2020,ABBOTT LABORATORIES,72548.0,67887.0,2177.0,32784.0,1771.23,2420.0,1800,A,109.49,0,0.0,0,3.2212600306004298,0.0677154683518199,0.0637784639135469
35,48,1084,20161231,2016,WORLDS INC,0.093,0.026,0.0,-4.779,210.156,0.0,1961,A,0.0265,0,0.0,0,112.27025806451611,0.0,0.0
36,49,1084,20171231,2017,WORLDS INC,0.184,0.093,0.0,-4.951,246.773,0.0,1961,A,0.043,0,0.0,0,85.57738586956522,0.0,0.0
37,50,1084,20181231,2018,WORLDS INC,3.846,0.184,0.0,-0.595,56.815,0.0,1961,A,0.21,0,0.0,0,4.256929277171087,0.0,0.0
38,51,1084,20191231,2019,WORLDS INC,1.774,3.846,0.0,-1.445,56.815,0.0,1961,A,0.23,0,0.0,0,9.180636978579482,0.0,0.0
39,52,1084,20201231,2020,WORLDS INC,0.692,1.774,0.0,-2.67,56.815,0.0,1961,A,0.3,0,0.0,0,29.489161849710985,0.0,0.0690727985224897
40,54,1097,20161231,2016,ACMAT CORP  -CL A,72.257,73.518,0.034,29.823,0.865,0.0,2062,A,21.73,0,0.0,0,0.8473981759552707,0.0004624717756195,8.303693759774139e-05
41,55,1097,20171231,2017,ACMAT CORP  -CL A,66.316,72.257,0.006,29.967,0.832,0.0,2062,A,20.07,0,0.0,0,0.7999161589963206,8.303693759774139e-05,0.0002714277097533
42,56,1097,20181231,2018,ACMAT CORP  -CL A,60.875,66.316,0.018,28.305,0.806,0.0,2062,A,29.0,0,0.0,0,0.9189979466119096,0.0002714277097533,0.000788501026694
43,57,1097,20191231,2019,ACMAT CORP  -CL A,58.515,60.875,0.048,31.197,0.794,0.0,2062,A,32.4,0,0.0,0,0.9064957703153036,0.000788501026694,0.0018798598649918
44,58,1097,20201231,2020,ACMAT CORP  -CL A,57.742,58.515,0.11,31.305,0.772,0.0,2062,A,34.5,0,0.0,0,0.9191056769768974,0.0018798598649918,0.0690727985224897
45,60,1104,20161231,2016,ACME UNITED CORP,92.066,81.421,1.81,46.12,3.325,0.75,2098,A,25.57,0,0.0,0,1.4225256880933244,0.0314415200009825,0.0857862837529598
46,61,1104,20171231,2017,ACME UNITED CORP,114.73,92.066,7.146,49.938,3.374,0.752,2098,A,23.4,0,0.0,0,1.2528859060402686,0.0857862837529598,0.0312472762137191
47,62,1104,20181231,2018,ACME UNITED CORP,109.477,114.73,2.851,52.332,3.351,0.734,2098,A,14.25,0,0.0,0,0.9581624450797884,0.0312472762137191,0.0207897549256921
48,63,1104,20191231,2019,ACME UNITED CORP,110.749,109.477,1.68,55.705,3.351,0.596,2098,A,23.79,0,0.0,0,1.2168443055919242,0.0207897549256921,0.0254629838644141
49,64,1104,20201231,2020,ACME UNITED CORP,129.867,110.749,2.569,62.716,3.339,0.251,2098,A,30.13,0,0.0,0,1.2917451700585985,0.0254629838644141,0.0690727985224897
50,67,1117,20161231,2016,BK TECHNOLOGIES CORP,42.544,39.449,1.394,35.774,13.725,4.123,2186,A,4.75,0,0.0,0,1.6915134919142534,0.1398514537757611,0.1322865738999624
51,68,1117,20171231,2017,BK TECHNOLOGIES CORP,42.801,42.544,0.628,32.007,13.652,5.0,2186,A,3.55,0,0.0,0,1.3845143805051283,0.1322865738999624,0.214107147029275
52,69,1117,20181231,2018,BK TECHNOLOGIES CORP,39.191,42.801,1.396,27.712,12.818,7.768,2186,A,3.75,0,0.0,0,1.5193922073945547,0.214107147029275,0.3127758924242811
53,70,1117,20191231,2019,BK TECHNOLOGIES CORP,37.94,39.191,2.455,23.276,12.597,9.803,2186,A,3.1,0,0.0,0,1.415780179230364,0.3127758924242811,0.2323405376910912
54,71,1117,20201231,2020,BK TECHNOLOGIES CORP,37.49,37.94,0.946,22.524,12.512,7.869,2186,A,3.03,0,0.0,0,1.410439050413444,0.2323405376910912,0.0690727985224897
55,80,1121,20161231,2016,ADAMS RESOURCES & ENERGY INC,246.872,243.215,8.484,151.312,4.218,0.0,2178,A,39.65,0,0.0,0,1.0645342525681325,0.0348827169376888,0.0107100035646002
56,81,1121,20171231,2017,ADAMS RESOURCES & ENERGY INC,282.704,246.872,2.644,147.119,4.218,0.0,2178,A,43.5,0,0.0,0,1.1286292376478575,0.0107100035646002,0.0414956986813062
57,82,1121,20181231,2018,ADAMS RESOURCES & ENERGY INC,278.87,282.704,11.731,146.598,4.218,0.0,2178,A,38.71,0,0.0,0,1.059815613009646,0.0414956986813062,0.1281708322874457
58,83,1121,20191231,2019,ADAMS RESOURCES & ENERGY INC,330.842,278.87,35.743,151.641,4.236,0.0,2178,A,38.07,0,0.0,0,1.029087963438741,0.1281708322874457,0.0151371349465908
59,84,1121,20201231,2020,ADAMS RESOURCES & ENERGY INC,296.187,330.842,5.008,149.092,4.244,0.0,2178,A,24.1,0,0.0,0,0.8419525502469722,0.0151371349465908,0.0418046706979036
60,87,1161,20161231,2016,ADVANCED MICRO DEVICES,3321.0,3109.0,77.0,416.0,935.0,1008.0,2488,A,11.34,0,0.0,0,4.067419451972297,0.348986812479897,0.3833182776272207
61,88,1161,20171231,2017,ADVANCED MICRO DEVICES,3540.0,3321.0,113.0,611.0,967.0,1160.0,2488,A,10.28,0,0.0,0,3.6355254237288137,0.3833182776272207,0.4511299435028248
62,89,1161,20181231,2018,ADVANCED MICRO DEVICES,4556.0,3540.0,163.0,1266.0,1005.0,1434.0,2488,A,18.46,0,0.0,0,4.79418349429324,0.4511299435028248,0.3871817383669886
63,90,1161,20191231,2019,ADVANCED MICRO DEVICES,6028.0,4556.0,217.0,2827.0,1170.0,1547.0,2488,A,45.86,0,0.0,0,9.432183145321831,0.3871817383669886,0.3777372262773723
64,91,1161,20201231,2020,ADVANCED MICRO DEVICES,8962.0,6028.0,294.0,5837.0,1211.0,1983.0,2488,A,91.71,0,0.0,0,12.741108011604553,0.3777372262773723,0.3510377147958045
65,94,1166,20161231,2016,ASM INTERNATIONAL NV,2266.847,2254.303,28.374,2127.131,59.816,96.159,351483,A,38.0,0,0.0,0,1.06435238020034,0.0552423520706843,0.0726290746574427
66,95,1166,20171231,2017,ASM INTERNATIONAL NV,2617.431,2266.847,53.102,2418.24,56.14,111.537,351483,A,38.0,0,0.0,0,0.8911451724992943,0.0726290746574427,0.0680831701007591
67,96,1166,20181231,2018,ASM INTERNATIONAL NV,2115.739,2617.431,76.779,1879.408,49.319,101.424,351483,A,41.382,0,0.0,0,1.0763377987549507,0.0680831701007591,0.0846262227996931
68,97,1166,20191231,2019,ASM INTERNATIONAL NV,2440.903,2115.739,54.658,2040.859,48.866,124.389,351483,A,112.418,0,0.0,0,2.414459725765424,0.0846262227996931,0.1157743671092214
69,98,1166,20201231,2020,ASM INTERNATIONAL NV,2687.937,2440.903,115.043,2235.658,48.715,167.551,351483,A,220.179,0,0.0,0,4.158690841712437,0.1157743671092214,0.0945237927823457
70,101,1186,20161231,2016,AGNICO EAGLE MINES LTD,7107.951,6683.18,516.05,4492.474,224.965,0.0,2809,A,42.0,0,0.0,0,1.6972552286868603,0.0772162353849514,0.1229824178585361
71,102,1186,20171231,2017,AGNICO EAGLE MINES LTD,7865.601,7107.951,874.153,4946.991,232.25,0.0,2809,A,46.18,0,0.0,0,1.7346309582700674,0.1229824178585361,0.138463672388162
72,103,1186,20181231,2018,AGNICO EAGLE MINES LTD,7852.843,7865.601,1089.1,4550.012,234.459,0.0,2809,A,40.4,0,0.0,0,1.6267961297583564,0.138463672388162,0.1124005662662554
73,104,1186,20191231,2019,AGNICO EAGLE MINES LTD,8789.885,7852.843,882.664,5111.514,239.619,0.0,2809,A,61.61,0,0.0,0,2.0980135223612137,0.1124005662662554,0.0863881609372591
74,105,1186,20201231,2020,AGNICO EAGLE MINES LTD,9614.755,8789.885,759.342,5683.213,242.884,0.0,2809,A,70.51,0,0.0,0,2.190101863230004,0.0863881609372591,0.0902450452455626
75,108,1209,20160930,2016,AIR PRODUCTS & CHEMICALS INC,18055.3,17438.1,1055.8,7079.6,217.351,132.0,2969,A,150.34,0,0.0,0,2.4176972600842968,0.0681152189745442,0.0607854757328873
76,109,1209,20170930,2017,AIR PRODUCTS & CHEMICALS INC,18467.2,18055.3,1039.7,10086.2,218.346,57.8,2969,A,151.22,0,0.0,0,2.2417736375844743,0.0607854757328873,0.0884216340322301
77,110,1209,20180930,2018,AIR PRODUCTS & CHEMICALS INC,19178.3,18467.2,1568.4,10857.5,219.516,64.5,2969,A,167.05,0,0.0,0,2.3459299207958995,0.0884216340322301,0.1075486356976374
78,111,1209,20190930,2019,AIR PRODUCTS & CHEMICALS INC,18942.8,19178.3,1989.7,11053.6,220.415,72.9,2969,A,221.86,0,0.0,0,2.9979977564034885,0.1075486356976374,0.1368805034102667
79,112,1209,20200930,2020,AIR PRODUCTS & CHEMICALS INC,25168.5,18942.8,2509.0,12079.8,221.017,83.9,2969,A,297.86,0,0.0,0,3.135698338001867,0.1368805034102667,0.1016230605717464
80,116,1210,20170331,2016,AIR T INC,65.335,52.155,2.346,22.966,2.043,1.042,353184,A,20.1703,0,0.0,0,1.2792059830106377,0.0649602147445115,0.3124206015152675
81,117,1210,20180331,2017,AIR T INC,97.147,65.335,20.216,25.118,2.044,0.196,353184,A,25.3,0,0.0,0,1.2737624424840708,0.3124206015152675,0.2107116020052085
82,118,1210,20190331,2018,AIR T INC,115.142,97.147,20.47,24.358,2.023,0.0,353184,A,30.19,0,0.0,0,1.3188790363203695,0.2107116020052085,0.3360372409720171
83,119,1210,20200331,2019,AIR T INC,151.427,115.142,38.692,24.006,2.882,0.0,353184,A,12.51,0,0.0,0,1.0795619011140682,0.3360372409720171,0.0396560719026329
84,120,1210,20210331,2020,AIR T INC,140.75,151.427,6.005,13.725,2.882,0.0,353184,A,23.77,0,0.0,0,1.3892017051509769,0.0396560719026329,0.0690727985224897
85,122,1224,20160930,2016,SPIRE ALABAMA INC,1592.3,1519.0,93.4,867.3,1.972,0.0,3146,A,0.0,0,0.0,0,0.4553162092570496,0.0614878209348255,0.0715317465301764
86,123,1224,20170930,2017,SPIRE ALABAMA INC,1643.0,1592.3,113.9,867.4,1.972,0.0,3146,A,0.0,0,0.0,0,0.4720632988435788,0.0715317465301764,0.080158247108947
87,124,1224,20180930,2018,SPIRE ALABAMA INC,1616.2,1643.0,131.7,808.7,1.972,0.0,3146,A,0.0,0,0.0,0,0.4996287588169781,0.080158247108947,0.1079693107288701
88,125,1224,20190930,2019,SPIRE ALABAMA INC,1743.6,1616.2,174.5,830.0,1.972,0.0,3146,A,0.0,0,0.0,0,0.5239733883918329,0.1079693107288701,0.0862583161275521
89,126,1224,20200930,2020,SPIRE ALABAMA INC,2051.4,1743.6,150.4,851.7,1.972,0.0,3146,A,0.0,0,0.0,0,0.5848201228429365,0.0862583161275521,0.0827727405674173
90,129,1225,20161231,2016,ALABAMA POWER CO,22516.0,21721.0,1272.0,6323.0,30.538,0.0,3153,A,0.0,0,0.0,0,0.7191774737964114,0.0585608397403434,0.0835850062178006
91,130,1225,20171231,2017,ALABAMA POWER CO,23864.0,22516.0,1882.0,6829.0,30.538,0.0,3153,A,0.0,0,0.0,0,0.713836741535367,0.0835850062178006,0.0904290982232651
92,131,1225,20181231,2018,ALABAMA POWER CO,26730.0,23864.0,2158.0,7477.0,30.538,0.0,3153,A,0.0,0,0.0,0,0.7202768424990648,0.0904290982232651,0.0657313879536101
93,132,1225,20191231,2019,ALABAMA POWER CO,29152.0,26730.0,1757.0,8955.0,30.538,0.0,3153,A,0.0,0,0.0,0,0.6928169593852909,0.0657313879536101,0.0675768386388584
94,133,1225,20201231,2020,ALABAMA POWER CO,30803.0,29152.0,1970.0,9810.0,30.538,0.0,3153,A,0.0,0,0.0,0,0.6815245268318021,0.0675768386388584,0.0569100412297503
96,138,1230,20161231,2016,ALASKA AIR GROUP INC,9962.0,6533.0,678.0,2931.0,123.328,0.0,766421,A,88.73,0,0.0,0,1.8042454768118847,0.1037808051431195,0.1029913671953423
97,139,1230,20171231,2017,ALASKA AIR GROUP INC,10740.0,9962.0,1026.0,3721.0,123.061,0.0,766421,A,73.51,0,0.0,0,1.495829991620112,0.1029913671953423,0.0893854748603352
98,140,1230,20181231,2018,ALASKA AIR GROUP INC,10912.0,10740.0,960.0,3751.0,123.194,0.0,766421,A,60.85,0,0.0,0,1.3432326704545454,0.0893854748603352,0.063782991202346
99,141,1230,20191231,2019,ALASKA AIR GROUP INC,12993.0,10912.0,696.0,4331.0,123.0,0.0,766421,A,67.75,0,0.0,0,1.3080312475948588,0.063782991202346,0.0158546909874547
100,142,1230,20201231,2020,ALASKA AIR GROUP INC,14046.0,12993.0,206.0,2988.0,124.218,0.0,766421,A,52.0,0,0.0,0,1.247140538231525,0.0158546909874547,0.0207888366794817
101,145,1234,20161231,2016,ATRION CORP,182.593,164.336,10.639,162.988,1.824,6.574,701288,A,507.2,0,0.0,0,5.1740088612378345,0.1047427222276311,0.0847568088590471
102,146,1234,20171231,2017,ATRION CORP,203.78,182.593,9.677,184.388,1.836,5.799,701288,A,630.6,0,0.0,0,5.776688585729709,0.0847568088590471,0.1129649622141525
103,147,1234,20181231,2018,ATRION CORP,231.216,203.78,17.507,210.767,1.853,5.513,701288,A,741.08,0,0.0,0,6.027568334371324,0.1129649622141525,0.1102172860009687
104,148,1234,20191231,2019,ATRION CORP,262.031,231.216,20.446,237.87,1.855,5.038,701288,A,751.5,0,0.0,0,5.412311902026858,0.1102172860009687,0.1050677209948441
105,149,1234,20201231,2020,ATRION CORP,266.89,262.031,21.886,240.442,1.826,5.645,701288,A,642.24,0,0.0,0,4.493155382367268,0.1050677209948441,0.0805575330660571
106,152,1254,20161231,2016,MATSON INC,2015.5,1669.8,179.4,471.5,42.9,0.0,3453,A,35.39,0,0.0,0,1.5193406102704043,0.1074380165289256,0.1523195236913917
107,153,1254,20171231,2017,MATSON INC,2247.5,2015.5,307.0,678.2,42.5,0.0,3453,A,29.84,0,0.0,0,1.2625139043381537,0.1523195236913917,0.1785094549499443
108,154,1254,20181231,2018,MATSON INC,2430.4,2247.5,401.2,755.3,42.7,0.0,3453,A,32.02,0,0.0,0,1.251791474654378,0.1785094549499443,0.127674456879526
109,155,1254,20191231,2019,MATSON INC,2845.4,2430.4,310.3,805.7,42.9,0.0,3453,A,40.8,0,0.0,0,1.3319814437337454,0.127674456879526,0.0675827651648274
110,156,1254,20201231,2020,MATSON INC,2900.6,2845.4,192.3,961.2,43.2,0.0,3453,A,56.97,0,0.0,0,1.5171012893884024,0.0675827651648274,0.1121492105081707
111,159,1257,20161231,2016,ALEXANDER'S INC,1451.23,1447.808,0.0,352.845,5.106,0.0,3499,A,426.87,0,0.0,0,2.2587620294508794,0.0,0.0
112,160,1257,20171231,2017,ALEXANDER'S INC,1632.395,1451.23,0.0,343.955,5.107,0.0,3499,A,395.85,0,0.0,0,2.0277236514446564,0.0,0.0
113,161,1257,20181231,2018,ALEXANDER'S INC,1481.257,1632.395,0.0,285.092,5.107,0.0,3499,A,304.74,0,0.0,0,1.8582002852982296,0.0,0.0
114,162,1257,20191231,2019,ALEXANDER'S INC,1265.511,1481.257,0.0,253.515,5.107,0.0,3499,A,330.35,0,0.0,0,2.132809157723639,0.0,0.0
115,163,1257,20201231,2020,ALEXANDER'S INC,1404.138,1265.511,0.0,203.228,5.107,0.0,3499,A,277.35,0,0.0,0,1.8640165354117613,0.0,0.0690727985224897
116,166,1266,20160930,2016,ALICO INC,458.662,460.58,14.305,173.49,8.316,0.0,3545,A,26.86,0,0.0,0,1.1087462227086613,0.0310586651613183,0.0291129415560914
117,167,1266,20170930,2017,ALICO INC,419.182,458.662,13.353,160.641,8.239,0.0,3545,A,34.15,0,0.0,0,1.287991492955327,0.0291129415560914,0.0390093086058084
118,168,1266,20180930,2018,ALICO INC,423.422,419.182,16.352,172.117,8.2,0.0,3545,A,33.8,0,0.0,0,1.2480811105705418,0.0390093086058084,0.0472342013405066
119,169,1266,20190930,2019,ALICO INC,417.388,423.422,20.0,194.303,7.477,0.0,3545,A,34.02,0,0.0,0,1.1439057663373169,0.0472342013405066,0.0520019741822956
120,170,1266,20200930,2020,ALICO INC,423.937,417.388,21.705,216.341,7.493,0.0,3545,A,28.62,0,0.0,0,0.9955386295605244,0.0520019741822956,0.0962053323960871
121,180,1274,20161231,2016,ALLEGHANY CORP,23756.591,22846.333,24.005,7939.945,15.41,0.0,775368,A,608.12,0,0.0,0,1.0602436687991132,0.0010507156662734,0.0
122,181,1274,20171231,2017,ALLEGHANY CORP,25384.317,23756.591,0.0,8514.063,15.391,0.0,775368,A,596.09,0,0.0,0,1.0260144163027904,0.0,0.0009173380556191
123,182,1274,20181231,2018,ALLEGHANY CORP,25344.896,25384.317,23.286,7692.71,14.577,0.0,775368,A,623.32,0,0.0,0,1.054978550316403,0.0009173380556191,0.0018769854096067
124,183,1274,20191231,2019,ALLEGHANY CORP,26931.604,25344.896,47.572,8776.734,14.365,0.0,775368,A,799.57,0,0.0,0,1.1005914482479395,0.0018769854096067,0.0013931216276609
125,184,1274,20201231,2020,ALLEGHANY CORP,28927.01,26931.604,37.519,8755.72,14.041,0.0,775368,A,603.69,0,0.0,0,0.9903443629327744,0.0013931216276609,0.0020621211801703
126,187,1300,20161231,2016,HONEYWELL INTERNATIONAL INC,54146.0,49316.0,1095.0,19369.0,760.8,2143.0,773840,A,115.85,0,0.0,0,2.270078676171832,0.06565820423392,0.0529309644295054
127,188,1300,20171231,2017,HONEYWELL INTERNATIONAL INC,59387.0,54146.0,1031.0,17276.0,750.9,1835.0,773840,A,153.36,0,0.0,0,2.648206240422988,0.0529309644295054,0.0444036573660902
128,189,1300,20181231,2018,HONEYWELL INTERNATIONAL INC,57773.0,59387.0,828.0,18180.0,729.6,1809.0,773840,A,132.12,0,0.0,0,2.3538288127672096,0.0444036573660902,0.041455351115573
129,190,1300,20191231,2019,HONEYWELL INTERNATIONAL INC,58679.0,57773.0,839.0,18494.0,711.1,1556.0,773840,A,177.0,0,0.0,0,2.829797712980794,0.041455351115573,0.0381737930094241
130,191,1300,20201231,2020,HONEYWELL INTERNATIONAL INC,64586.0,58679.0,906.0,17549.0,696.8,1334.0,773840,A,212.7,0,0.0,0,3.0230446226736443,0.0381737930094241,0.0344966401387297
131,194,1327,20160930,2016,SKYWORKS SOLUTIONS INC,3855.4,3719.4,189.3,3541.4,184.9,312.4,4127,A,76.14,0,0.0,0,3.73302017948851,0.1348873474216271,0.1707993982466151
132,195,1327,20170930,2017,SKYWORKS SOLUTIONS INC,4573.6,3855.4,303.3,4065.7,183.1,355.2,4127,A,101.9,0,0.0,0,4.190526062620254,0.1707993982466151,0.1807766311002273
133,196,1327,20180930,2018,SKYWORKS SOLUTIONS INC,4828.9,4573.6,422.3,4097.0,177.4,404.5,4127,A,90.71,0,0.0,0,3.483993041893599,0.1807766311002273,0.1703286462755493
134,197,1327,20190930,2019,SKYWORKS SOLUTIONS INC,4839.6,4828.9,398.4,4122.3,170.1,424.1,4127,A,79.25,0,0.0,0,2.933656707165882,0.1703286462755493,0.1783825109513182
135,198,1327,20200930,2020,SKYWORKS SOLUTIONS INC,5106.7,4839.6,389.4,4164.2,165.6,473.9,4127,A,145.5,0,0.0,0,4.902833532418196,0.1783825109513182,0.229130358156931
136,208,1380,20161231,2016,HESS CORP,28621.0,34195.0,2251.0,14533.0,316.523,0.0,4447,A,62.29,0,0.0,0,1.1810984127039583,0.0658283374762392,0.0676775793997414
137,209,1380,20171231,2017,HESS CORP,23112.0,28621.0,1937.0,11050.0,315.054,0.0,4447,A,47.47,0,0.0,0,1.168986387158186,0.0676775793997414,0.0907320872274143
138,210,1380,20181231,2018,HESS CORP,21433.0,23112.0,2097.0,9628.0,291.435,0.0,4447,A,40.5,0,0.0,0,1.1014845098679606,0.0907320872274143,0.1319927215042224
139,211,1380,20191231,2019,HESS CORP,21782.0,21433.0,2829.0,8732.0,304.955,0.0,4447,A,66.81,0,0.0,0,1.5344800087227988,0.1319927215042224,0.1008630979708015
140,212,1380,20201231,2020,HESS CORP,18821.0,21782.0,2197.0,5366.0,306.98,0.0,4447,A,52.79,0,0.0,0,1.5759244567238722,0.1008630979708015,0.0928218479358163
141,215,1388,20161231,2016,AMERICAN AIRLINES INC,58092.0,50439.0,5657.0,12649.0,0.001,0.0,4515,A,0.0,0,0.0,0,0.7822591751015631,0.1121552766708301,0.1012359705295049
142,216,1388,20171231,2017,AMERICAN AIRLINES INC,60012.0,58092.0,5881.0,14594.0,0.001,0.0,4515,A,0.0,0,0.0,0,0.7568153036059455,0.1012359705295049,0.0612710791175098
